tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,year,month_April,month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,Partly cloudy,Rainy,Overcast,Clear,Snow
32.2,22.5,27.9,32.7,22.5,28.3,17.1,52.9,0.0,0,0.0,none,0.0,0.0,21.2,19.6,8.5,1018.2,49.3,16.0,304.6,26.2,10,0.46,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
33.3,24.1,28.8,38.7,24.1,31.5,21.9,66.9,0.0,0,0.0,none,0.0,0.0,27.0,28.1,166.8,1017.9,56.1,15.9,220.9,19.0,9,0.5,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
34.4,24.1,28.6,41.0,24.1,31.4,23.0,73.0,6.908,100,12.5,rain,0.0,0.0,80.4,35.0,191.3,1014.4,64.7,15.1,203.8,17.6,10,0.53,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
33.7,25.5,29.2,38.1,25.5,31.8,23.0,70.7,0.0,0,0.0,none,0.0,0.0,31.3,19.8,275.6,1011.8,52.9,15.9,207.6,17.8,7,0.56,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
35.0,25.9,30.8,40.8,25.9,34.8,23.2,65.3,0.0,0,0.0,none,0.0,0.0,24.1,21.4,244.8,1013.3,23.9,16.0,358.5,30.9,10,0.59,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
35.7,27.1,31.9,43.2,29.7,36.6,23.1,60.7,0.0,0,0.0,none,0.0,0.0,44.6,24.0,243.5,1012.5,44.9,16.0,343.0,29.5,10,0.62,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
36.7,27.1,32.0,42.5,28.6,35.8,21.9,56.4,0.0,0,0.0,none,0.0,0.0,44.1,23.4,282.7,1011.7,51.1,16.0,304.4,26.2,10,0.66,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
34.4,24.8,28.4,38.9,24.8,30.4,21.3,66.1,1.09,100,12.5,rain,0.0,0.0,46.0,31.3,220.2,1010.0,51.2,16.0,227.3,19.5,9,0.69,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
24.8,21.1,22.9,24.8,21.1,22.9,18.6,77.0,2.131,100,29.17,rain,0.0,0.0,48.2,23.8,294.1,1011.3,69.7,15.7,101.1,8.4,4,0.72,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
29.7,20.4,23.9,29.6,20.4,24.0,16.8,66.3,8.988,100,25.0,rain,0.0,0.0,23.4,17.3,347.7,1014.6,66.1,15.5,183.5,15.9,8,0.75,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
30.8,18.2,24.7,30.2,18.2,24.6,15.8,60.2,0.267,100,4.17,rain,0.0,0.0,23.0,15.6,356.0,1019.8,35.9,16.0,246.9,21.4,9,0.79,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
31.0,20.3,26.0,30.3,20.3,25.8,16.1,57.5,0.0,0,0.0,none,0.0,0.0,18.0,14.2,88.0,1024.2,23.3,16.0,183.8,15.9,9,0.82,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
31.2,21.3,26.5,31.3,21.3,26.7,17.5,59.9,0.0,0,0.0,none,0.0,0.0,25.9,17.8,178.1,1024.1,18.6,16.0,298.3,25.7,10,0.85,2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
33.2,22.7,27.8,34.0,22.7,28.7,18.7,59.0,0.0,0,0.0,none,0.0,0.0,25.9,19.5,185.9,1020.4,45.6,16.0,269.1,23.3,9,0.89,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
33.9,23.7,28.9,36.6,23.7,30.1,20.0,60.7,0.0,0,0.0,none,0.0,0.0,29.5,17.8,190.3,1016.8,32.2,15.9,207.7,18.2,9,0.92,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
35.0,24.3,29.2,36.7,24.3,30.4,19.7,58.6,0.0,0,0.0,none,0.0,0.0,31.7,23.4,184.2,1015.6,31.2,16.0,271.1,23.4,9,0.95,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
32.2,23.7,26.9,33.6,23.7,27.5,19.1,63.4,0.294,100,4.17,rain,0.0,0.0,23.0,16.8,302.5,1017.0,70.2,15.9,177.1,15.2,7,0.0,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
32.6,21.7,26.6,34.0,21.7,27.2,19.2,65.8,0.0,0,0.0,none,0.0,0.0,28.4,19.4,39.1,1018.2,57.0,16.0,225.5,19.5,9,0.02,2019,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29.9,22.1,26.0,30.9,22.1,26.4,19.3,67.8,0.286,100,12.5,rain,0.0,0.0,32.4,21.6,165.4,1019.2,63.6,16.0,250.0,21.6,9,0.05,2019,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
32.0,23.0,27.0,34.4,23.0,28.1,20.7,70.2,1.88,100,8.33,rain,0.0,0.0,61.2,23.5,156.2,1016.0,46.0,15.9,214.5,18.6,9,0.09,2019,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
32.8,24.7,28.5,33.6,24.7,28.9,18.9,58.8,0.0,0,0.0,none,0.0,0.0,27.7,17.7,334.0,1013.7,64.0,16.0,277.3,23.9,10,0.12,2019,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31.5,23.1,26.6,33.1,23.1,27.2,18.9,63.6,0.0,0,0.0,none,0.0,0.0,50.0,18.0,178.6,1014.2,63.4,16.0,150.8,13.0,8,0.16,2019,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32.7,21.9,27.0,34.2,21.9,27.8,19.4,64.6,0.0,0,0.0,none,0.0,0.0,29.5,24.3,166.5,1011.4,48.3,16.0,263.5,22.6,10,0.19,2019,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33.8,23.6,26.9,37.0,23.6,27.8,20.9,71.1,20.491,100,8.33,rain,0.0,0.0,68.2,47.8,197.1,1009.1,53.8,15.9,234.9,20.3,10,0.25,2019,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
